Subjectline,Region,Division,MAP_B&B,Email_Type,tactic_nm,tactic_id,# of Contacts,# of Emails Sent,Delivered,Bounced,Deliver Rate,Opened,Open Rate,Clicked,Click Rate,Sum of Win $
Reliable nucleic acid extraction,APJ,PPA,MAP,Consideration,eP2 - MAP - PA PrepSEQ - Product Intro - EM1 - Glo,EM5091627,256,260,258,2,99%,77,30%,13,17%,
Reliable nucleic acid extraction,EMEA,PPA,MAP,Consideration,eP2 - MAP - PA PrepSEQ - Product Intro - EM1 - Glo,EM5091627,497,500,494,6,99%,152,30%,10,7%,
Reliable nucleic acid extraction,To Be Mapped,PPA,MAP,Consideration,eP2 - MAP - PA PrepSEQ - Product Intro - EM1 - Glo,EM5091627,424,430,424,6,99%,127,30%,32,25%,
Reliable CGMP chemicals,AMER,BCD,Batch & Blast,Awareness,BPG-PCS - New EM - KC Seminar for TSS Engagement -,EM5104975,1196,1196,1196,0,100%,447,37%,70,16%,
Reliable CGMP chemicals,To Be Mapped,BCD,Batch & Blast,Awareness,BPG-PCS - New EM - KC Seminar for TSS Engagement -,EM5104975,167,167,167,0,100%,63,38%,0,0%,
Reliable cGMP chemical sourcing,AMER,BCD,Batch & Blast,Awareness,SO- EM- BPG PCS- Chemical Sourcing EM1 - Americas,EM5093300,7381,7381,7319,62,99%,3431,46%,770,22%,$768000
Reliable cGMP chemical sourcing,AMER,BCD,MAP,Consideration,eT1 MAP -Resend - BPG - PCS  - Critical cGMP suppl,EM5094968,496,519,518,1,100%,318,61%,79,25%,
Reliable cGMP chemical sourcing,APJ,BCD,MAP,Consideration,eT1 MAP -Resend - BPG - PCS  - Critical cGMP suppl,EM5094968,99,105,105,0,100%,23,22%,19,83%,
Reliable cGMP chemical sourcing,EMEA,BCD,Batch & Blast,Download,Chemical Sourcing Portfolio-Email5-EMEA,EM5092259,12375,12375,12279,96,99%,4816,39%,912,19%,$51416
Reliable cGMP chemical sourcing,EMEA,BCD,MAP,Consideration,eT1 MAP -Resend - BPG - PCS  - Critical cGMP suppl,EM5094968,3275,3284,3259,25,99%,1697,52%,173,10%,
Reliable cGMP chemical sourcing,To Be Mapped,BCD,MAP,Consideration,eT1 MAP -Resend - BPG - PCS  - Critical cGMP suppl,EM5094968,490,497,480,17,97%,231,46%,40,17%,
Regulatory-accepted MycoSEQ mycoplasma test,AMER,PPA,MAP,Cross-Sell,eT3 - MAP - PA MycoSEQ 1.0 - video - John Duguid -,EM5091498,346,347,347,0,100%,490,141%,28,6%,
Regulatory-accepted MycoSEQ mycoplasma test,AMER,PPA,MAP,Cross-Sell,eT4 - MAP - PA MycoSEQ 1.0 - Regulatory Consulting,EM5091499,247,248,248,0,100%,218,88%,18,8%,$36000
Regulatory-accepted MycoSEQ mycoplasma test,EMEA,PPA,MAP,Cross-Sell,eT3 - MAP - PA MycoSEQ 1.0 - video - John Duguid -,EM5091498,201,203,203,0,100%,261,129%,180,69%,
Regulatory-accepted MycoSEQ mycoplasma test,EMEA,PPA,MAP,Cross-Sell,eT4 - MAP - PA MycoSEQ 1.0 - Regulatory Consulting,EM5091499,159,160,159,1,99%,154,96%,161,105%,
Regulatory-accepted MycoSEQ mycoplasma test,To Be Mapped,PPA,MAP,Cross-Sell,eT3 - MAP - PA MycoSEQ 1.0 - video - John Duguid -,EM5091498,113,114,114,0,100%,127,111%,46,36%,
Register: single-use bioreactor event,AMER,To Be Mapped,Batch & Blast,Webinar,KC OxB Webinar Nov 2021,EM5086591,465,579,570,9,98%,573,99%,523,91%,
Register: single-use bioreactor event,APJ,To Be Mapped,Batch & Blast,Webinar,KC OxB Webinar Nov 2021,EM5086591,100,124,124,0,100%,74,60%,31,42%,
Register: single-use bioreactor event,EMEA,To Be Mapped,Batch & Blast,Webinar,KC OxB Webinar Nov 2021,EM5086591,16501,20411,20328,83,100%,20461,100%,18738,92%,
Register: single-use bioreactor event,To Be Mapped,To Be Mapped,Batch & Blast,Webinar,KC OxB Webinar Nov 2021,EM5086591,3570,4323,4239,84,98%,4949,114%,5493,111%,
Register: Knowledge Culture Spotlight,AMER,BCD,Batch & Blast,Webinar,BPG-PCS - NEW EM - Spotlight_Building Process Resi,EM5104916,1287,1287,1287,0,100%,366,28%,14,4%,$94953
Register: Knowledge Culture Spotlight,To Be Mapped,BCD,Batch & Blast,Webinar,BPG-PCS - NEW EM - Spotlight_Building Process Resi,EM5104916,107,107,107,0,100%,42,39%,0,0%,
Register: Future of microbial manufacturing,AMER,BCD,Batch & Blast,Webinar,CCCT - SO No Edits - Bacto CD Supreme Webinar-Amer,EM5095667,7452,7452,7423,29,100%,3349,45%,419,13%,$1016370
Register: Future of microbial manufacturing,To Be Mapped,BCD,Batch & Blast,Webinar,CCCT - SO No Edits - Bacto CD Supreme Webinar-Amer,EM5095667,1806,1806,1766,40,98%,810,45%,235,29%,
Register: cell therapy manufacturing workshop,AMER,BCD,Batch & Blast,Event,BPG-CCCT - Revise EM - KC Cell Therapy Workshop -,EM5108411,1562,1562,1562,0,100%,149,10%,11,7%,
Register: cell therapy manufacturing workshop,AMER,To Be Mapped,Batch & Blast,Event,BPG - DIV - KC Cell Therapy Workshop - BnB EM - NA,EM5102985,5506,5506,5506,0,100%,1927,35%,238,12%,
Register: cell therapy manufacturing workshop,To Be Mapped,BCD,Batch & Blast,Event,BPG-CCCT - Revise EM - KC Cell Therapy Workshop -,EM5108411,4458,4458,4458,0,100%,619,14%,44,7%,
Register: cell therapy manufacturing workshop,To Be Mapped,To Be Mapped,Batch & Blast,Event,BPG - DIV - KC Cell Therapy Workshop - BnB EM - NA,EM5102985,571,571,571,0,100%,200,35%,31,16%,
Register: bioprocessing webinar,EMEA,SUD,Batch & Blast,Webinar,Sustainability-Webinar-Email1-EMEA,EM5103999,25991,26101,26101,0,100%,8299,32%,369,4%,$115379
Register: Antibody-Based Therapeutics Webinar,EMEA,To Be Mapped,Batch & Blast,Webinar,mAb CaptureC NPI-Email1-EMEA,EM5089697,10468,10468,10392,76,99%,8200,78%,1377,17%,
Register: Advances in microbial fermentation,AMER,BCD,Batch & Blast,Webinar,HP - BPG - CCCT - EM - KC Bacto CD Supreme Webinar,EM5103752,4765,4765,4765,0,100%,1067,22%,69,6%,$705246
Register: Advances in microbial fermentation,To Be Mapped,BCD,Batch & Blast,Webinar,HP - BPG - CCCT - EM - KC Bacto CD Supreme Webinar,EM5103752,309,309,309,0,100%,53,17%,6,11%,
Register today for our webinar - Simplifying analytical development for viral vector production,APJ,PPA,Batch & Blast,Event,EM5096578_PA - GTx viral vector production webinar,EM5096578,10154,10157,10084,73,99%,4709,46%,1011,21%,
Register today for Bioprocess Next,AMER,To Be Mapped,Batch & Blast,Event,eT1-BioProcess Next Keynote Speaker Email EM2-Amer,EM5088832,1468,1468,1459,9,99%,1019,69%,178,17%,
Register today for Bioprocess Next,EMEA,To Be Mapped,Batch & Blast,Awareness,2022_Q2-eT1-Bioprocess-Next-Keynote-Speaker-Email2-EMEA,EM5091766,14339,14339,14217,122,99%,7687,54%,2232,29%,
Register today for Bioprocess Next,To Be Mapped,To Be Mapped,Batch & Blast,Event,eT1-BioProcess Next Keynote Speaker Email EM2-Amer,EM5088832,565,565,555,10,98%,430,76%,240,56%,
Register now: supply chain webinar,AMER,SUD,Batch & Blast,Webinar,Rush-Ask the Experts-Email1-Americas,EM5091879,3749,3749,3722,27,99%,2926,78%,1074,37%,$755826
Register now: supply chain webinar,EMEA,SUD,Batch & Blast,Webinar,Ask The Experts Webinar-Email-EMEA,EM5092287,20441,20441,20314,127,99%,10484,51%,2316,22%,
Register Now: Maximizing Productivity and Scalability for Biologics Development and Manufacturing Webinar – July 14,APJ,To Be Mapped,Batch & Blast,Webinar,EM5093844_APJ BPG LIve Webinar 2 Maximizing productivity,EM5093844,3729,3729,3713,16,100%,1709,46%,85,5%,
Register now: Improving HEK293 & AAV Processes Using a Single-use Bioreactor –  January 27,APJ,To Be Mapped,Batch & Blast,Webinar,EM5088275_APJ Webinar_Improving HEK293_AAV Processes_Using,EM5088275,2092,2092,2083,9,100%,1557,74%,1024,66%,
Register now to learn how one lab transformed after implementing the MicroSEQ™ Microbial ID System.,EMEA,BCD,Batch & Blast,Awareness,Gibco-Sodium-Chloride-Email4-EMEA,EM5106371,4408,4410,4410,0,100%,1520,34%,115,8%,
Register now to learn how one lab transformed after implementing the MicroSEQ™ Microbial ID System.,EMEA,To Be Mapped,Batch & Blast,Event,MicroSEQ-Webinar-Email-Email15-EMEA,EM5106595,5929,5931,5931,0,100%,556,9%,48,9%,
Register now for the developing mRNA vaccine manufacturing event,AMER,To Be Mapped,Batch & Blast,Webinar,BPG-DIV-D1D-Email-Knowledge Culture mRNA Webinar S,EM5095373,9503,9503,9472,31,100%,4731,50%,1052,22%,
Register now for the developing mRNA vaccine manufacturing event,To Be Mapped,To Be Mapped,Batch & Blast,Webinar,BPG-DIV-D1D-Email-Knowledge Culture mRNA Webinar S,EM5095373,2221,2222,2155,67,97%,1037,47%,835,81%,
Register now for our mAbs workflow event,EMEA,To Be Mapped,Batch & Blast,Webinar,mAbs-Webinar-Email1-Email17-EMEA,EM5106913,4702,4704,4704,0,100%,1555,33%,111,7%,
Register now for our Knowledge Culture Workshop: Microbial Bioprocessing Innovation,AMER,To Be Mapped,Batch & Blast,Event,2022_Q4_MicrobialWorkshop_Darmstadt_Email 1,EM5098225,152,152,152,0,100%,22,14%,0,0%,
Register now for our Knowledge Culture Workshop: Microbial Bioprocessing Innovation,EMEA,To Be Mapped,Batch & Blast,Event,2022_Q4_MicrobialWorkshop_Darmstadt_Email 1,EM5098225,6686,6688,6688,0,100%,935,14%,69,7%,
Register now for our Knowledge Culture Workshop: Microbial Bioprocessing Innovation,To Be Mapped,To Be Mapped,Batch & Blast,Event,2022_Q4_MicrobialWorkshop_Darmstadt_Email 1,EM5098225,316,316,316,0,100%,62,20%,8,13%,
Register for webinar: Innovative single-use technologies for harvest applications,APJ,SUD,Batch & Blast,Webinar,EM5103341_DynaSpin_Webinar_EM2,EM5103341,3869,3875,3875,0,100%,1337,35%,109,8%,$131143
Register for Webinar: harvest application을 위한 차세대 싱글유즈 테크놀로지,APJ,SUD,Batch & Blast,Webinar,EM5103341_DynaSpin_Webinar_EM2,EM5103341,862,862,862,0,100%,227,26%,15,7%,$131143
Register for CHO Solutions Day,AMER,BCD,Batch & Blast,Event,BPG-CCCT - Minor Edits EM - CHO Solutions Day - AM,EM5107545,6591,6591,6591,0,100%,1938,29%,194,10%,
Register for CHO Solutions Day,AMER,BCD,Batch & Blast,Event,BPG-CCCT - New Email - CHO Solutions Day 2023 - GL,EM5106556,2683,2683,2683,0,100%,768,29%,41,5%,$5002
Register for CHO Solutions Day,To Be Mapped,BCD,Batch & Blast,Event,BPG-CCCT - Minor Edits EM - CHO Solutions Day - AM,EM5107545,2714,2714,2714,0,100%,684,25%,83,12%,
Register for CHO Solutions Day,To Be Mapped,BCD,Batch & Blast,Event,BPG-CCCT - New Email - CHO Solutions Day 2023 - GL,EM5106556,512,512,512,0,100%,189,37%,2,1%,
Reducing risk in CAR T cell therapy,AMER,BCD,MAP,Awareness,CCCT-eT1-MAP-Cell Therapy Day 7 EM2-Global,EM5085837,4331,4531,4524,7,100%,2187,48%,2994,137%,$72270
Reducing risk in CAR T cell therapy,APJ,BCD,MAP,Awareness,CCCT-eT1-MAP-Cell Therapy Day 7 EM2-Global,EM5085837,3406,3435,3392,43,99%,699,20%,201,29%,$178666
Reducing risk in CAR T cell therapy,EMEA,BCD,MAP,Awareness,CCCT-eT1-MAP-Cell Therapy Day 7 EM2-Global,EM5085837,2284,2371,2362,9,100%,824,35%,385,47%,$5000
Reducing risk in CAR T cell therapy,To Be Mapped,BCD,MAP,Awareness,CCCT-eT1-MAP-Cell Therapy Day 7 EM2-Global,EM5085837,2823,2908,2838,70,98%,1150,40%,1568,136%,
Reduce the number of open steps in your cell therapy manufacturing,APJ,BCD,Batch & Blast,Awareness,EM5105429_Gibco_CTS_OpTmizer_Pro_SFM_5_L_and_10_L,EM5105429,2300,2302,2302,0,100%,608,26%,43,7%,$2385540
Reduce the number of open steps in your cell therapy manufacturing,To Be Mapped,BCD,Batch & Blast,Awareness,EM5105429_Gibco_CTS_OpTmizer_Pro_SFM_5_L_and_10_L,EM5105429,380,383,383,0,100%,98,26%,0,0%,
Reduce steps to scale your cell therapy process,AMER,BCD,Batch & Blast,Awareness,BPG-CCCT - SO EM No Edits - OpTmizer Line Extensio,EM5105297,4095,4095,4095,0,100%,945,23%,116,12%,$80156
Reduce steps to scale your cell therapy process,EMEA,BCD,Batch & Blast,Awareness,CTS-OpTmizer-10L-Launch-Email1-EMEA,EM5105608,5027,5029,5029,0,100%,1030,20%,73,7%,$214666
Reduce steps to scale your cell therapy process,To Be Mapped,BCD,Batch & Blast,Awareness,BPG-CCCT - SO EM No Edits - OpTmizer Line Extensio,EM5105297,482,482,482,0,100%,139,29%,59,42%,
Reduce risk with our ultra-low particulate offering,AMER,SUD,Batch & Blast,Awareness,SO-SL-SUD Platinum Clean Email-Americas,EM5100905,7234,7234,7234,0,100%,2117,29%,204,10%,$98178
Reduce risk with our ultra-low particulate offering,APJ,SUD,Batch & Blast,To Be Mapped,EM5100783_Platinum-Clean,EM5100783,1912,1912,1912,0,100%,416,22%,13,3%,$106571
Reduce risk with our ultra-low particulate offering,To Be Mapped,SUD,Batch & Blast,To Be Mapped,EM5100783_Platinum-Clean,EM5100783,872,882,882,0,100%,252,29%,6,2%,
Reduce risk of particulate contamination,AMER,SUD,Batch & Blast,Awareness,Rigid Containment Platinum Clean Upgrade,EM5098475,4547,4547,4547,0,100%,1606,35%,120,7%,$203004
Reduce risk of particulate contamination,To Be Mapped,SUD,Batch & Blast,Awareness,Rigid Containment Platinum Clean Upgrade,EM5098475,702,702,702,0,100%,275,39%,61,22%,
"Reduce costs, increase titer? Download white paper.",AMER,BCD,Batch & Blast,Download,BPG - CCCT- SO EM - no edits - Vaccine - NA,EM5103600,3670,3670,3670,0,100%,834,23%,45,5%,$128763
"Reduce costs, increase titer? Download white paper.",To Be Mapped,BCD,Batch & Blast,Download,BPG - CCCT- SO EM - no edits - Vaccine - NA,EM5103600,240,240,240,0,100%,49,20%,3,6%,
Reduce biomanufacturing production costs,AMER,SUD,MAP,Awareness,eP5-BPG-SUD-MAP DynaDrive Email 1,EM5095462,5743,5799,5787,12,100%,6090,105%,434,7%,$1021611
Reduce biomanufacturing production costs,APJ,SUD,MAP,Awareness,eP5-BPG-SUD-MAP DynaDrive Email 1,EM5095462,117,123,122,1,99%,44,36%,36,82%,
Reduce biomanufacturing production costs,To Be Mapped,SUD,MAP,Awareness,eP5-BPG-SUD-MAP DynaDrive Email 1,EM5095462,1254,1257,1244,13,99%,1466,117%,348,24%,
Reduce assay operating time by 50% with the CaptureSelct AAVX Ligand Leakage ELISA Kit,APJ,PPA,Batch & Blast,To Be Mapped,EM5102900_AAVX ligand leakage ELISA kit,EM5102900,1955,1955,1955,0,100%,639,33%,1,0%,$2916352
Reduce assay operating time by 50% with the CaptureSelct AAVX Ligand Leakage ELISA Kit,To Be Mapped,PPA,Batch & Blast,To Be Mapped,EM5102900_AAVX ligand leakage ELISA kit,EM5102900,396,396,396,0,100%,163,41%,4,2%,
Ready-to-use bottle assembly systems,APJ,SUD,Batch & Blast,Download,EM5104081_Fluid_management_and_containment _PowerUp_EM2,EM5104081,2834,2834,2834,0,100%,655,23%,20,3%,$712425
Ready-to-use bottle assembly systems,To Be Mapped,SUD,Batch & Blast,Download,EM5104081_Fluid_management_and_containment _PowerUp_EM2,EM5104081,1088,1094,1094,0,100%,263,24%,14,5%,
Ready-to-ship containment products,AMER,SUD,Batch & Blast,Awareness,BPG - SUD - SO EM - In-Stock Nalgene Containers -,EM5103484,3561,3561,3561,0,100%,1534,43%,104,7%,$34426
Ready-to-ship containment products,EMEA,SUD,Batch & Blast,Awareness,EMEA SUT Rigid Email 1,EM5103563,8810,8812,8812,0,100%,2239,25%,102,5%,
Ready-to-ship containment products,To Be Mapped,SUD,Batch & Blast,Awareness,BPG - SUD - SO EM - In-Stock Nalgene Containers -,EM5103484,253,253,253,0,100%,107,42%,0,0%,
Ready-to-ship cell factory equipment with discounts available. Contact us!,APJ,SUD,Batch & Blast,Download,EM5102339_Rigid-Nunc-Cell-Factory-Equipment-APJ,EM5102339,4510,4517,4517,0,100%,1115,25%,61,5%,
Read: sustainable harvest process,APJ,SUD,Batch & Blast,Download,EM5100878_DynaSpin NPI,EM5100878,4254,4257,4257,0,100%,931,22%,37,4%,$993345
Read: sustainable harvest process,To Be Mapped,SUD,Batch & Blast,Download,EM5100878_DynaSpin NPI,EM5100878,802,815,815,0,100%,238,29%,34,14%,
Read: standardized modularization,AMER,SUD,Batch & Blast,Download,eT1-White Paper 1 of-Email1-Americas,EM5091102,2614,2614,2582,32,99%,1150,44%,305,27%,$972614
Read: single-use supply success,AMER,SUD,MAP,Awareness,eT1-MAP-RE-Single use Supply Email-EM2-Global,EM5088347,3104,3150,3141,9,100%,2843,90%,2112,74%,$774085
Read: single-use supply success,APJ,SUD,MAP,Awareness,eT1-MAP-RE-Single use Supply Email-EM2-Global,EM5088347,269,269,268,1,100%,108,40%,19,18%,$889
Read: single-use supply success,EMEA,SUD,MAP,Awareness,eT1-MAP-RE-Single use Supply Email-EM2-Global,EM5088347,6288,6311,6294,17,100%,5809,92%,2798,48%,$59281
Read: single-use supply success,To Be Mapped,SUD,MAP,Awareness,eT1-MAP-RE-Single use Supply Email-EM2-Global,EM5088347,2528,2532,2511,21,99%,2045,81%,1377,67%,
Read: single-use manifold design approach,AMER,SUD,Batch & Blast,Awareness,eT2-White Paper 2 of-Email2-Americas,EM5091103,2613,2613,2593,20,99%,1267,48%,408,32%,$933556
Read: Q2 Gibco newsletter,AMER,BCD,Batch & Blast,News Letter,BPG - DIV - SO - no edits - Gibco Newsletter Q2 -,EM5104008,726,726,726,0,100%,143,20%,6,4%,$1621
Read: Q2 Gibco newsletter,To Be Mapped,BCD,Batch & Blast,News Letter,BPG - DIV - SO - no edits - Gibco Newsletter Q2 -,EM5104008,209,209,209,0,100%,35,17%,0,0%,
Read: manufacturing and design strategies,AMER,SUD,MAP,Awareness,eT1-MAP Email 2-Single-Use mAb Process Playbook-Gl,EM5090684,5290,5290,5283,7,100%,5111,97%,631,12%,$428531
Read: manufacturing and design strategies,AMER,SUD,MAP,Awareness,eT2-MAP Email 3-Single-Use mAb Process Playbook-Gl,EM5090683,5147,5147,5140,7,100%,4970,97%,596,12%,
Read: manufacturing and design strategies,APJ,SUD,MAP,Awareness,EM5101706_Flexible-email-series-EM2,EM5101706,2481,2481,2481,0,100%,859,35%,7,1%,$11767
Read: manufacturing and design strategies,EMEA,SUD,MAP,Awareness,eT1-MAP Email 2-Single-Use mAb Process Playbook-Gl,EM5090684,13284,13284,13260,24,100%,11977,90%,1919,16%,$11624
Read: manufacturing and design strategies,EMEA,SUD,MAP,Awareness,eT2-MAP Email 3-Single-Use mAb Process Playbook-Gl,EM5090683,13040,13040,13017,23,100%,11562,89%,2403,21%,$934
Read: manufacturing and design strategies,To Be Mapped,SUD,MAP,Awareness,EM5101706_Flexible-email-series-EM2,EM5101706,540,540,540,0,100%,201,37%,0,0%,
Read: manufacturing and design strategies,To Be Mapped,SUD,MAP,Awareness,eT1-MAP Email 2-Single-Use mAb Process Playbook-Gl,EM5090684,3474,3474,3444,30,99%,3346,96%,1189,36%,
Read: manufacturing and design strategies,To Be Mapped,SUD,MAP,Awareness,eT2-MAP Email 3-Single-Use mAb Process Playbook-Gl,EM5090683,3330,3330,3297,33,99%,3263,98%,1373,42%,
Read: leveraging quality,AMER,BCD,Batch & Blast,Download,RUSH-SO-PCS Quality Artical Download email-America,EM5090844,2303,2303,2282,21,99%,1772,77%,532,30%,$31211
Read our white paper to learn more about perfusion technology,EMEA,To Be Mapped,MAP,Awareness,Perfusion MAP EM2,EM5081672,2743,2842,2762,80,97%,1785,63%,991,56%,
Read our white paper to learn more about perfusion technology,To Be Mapped,To Be Mapped,MAP,Awareness,Perfusion MAP EM2,EM5081672,530,541,506,35,94%,325,60%,214,66%,
Read now: Microbial identification for aseptic manufacturing,AMER,PPA,Batch & Blast,Download,SO - EM - PA MSID eBook - Microbial - Americas,EM5093891,2817,2817,2793,24,99%,1348,48%,248,18%,$275014
Read now: a new era of cell therapy,AMER,BCD,MAP,Awareness,CCCT-eP6-MAP-Cell Therapy Day 1 EM1-Global,EM5085836,4487,4715,4704,11,100%,2276,48%,2946,129%,
Read now: a new era of cell therapy,APJ,BCD,MAP,Awareness,CCCT-eP6-MAP-Cell Therapy Day 1 EM1-Global,EM5085836,3470,3513,3466,47,99%,795,23%,240,30%,
Read now: a new era of cell therapy,EMEA,BCD,MAP,Awareness,CCCT-eP6-MAP-Cell Therapy Day 1 EM1-Global,EM5085836,2360,2451,2442,9,100%,903,37%,341,38%,
Read now: a new era of cell therapy,To Be Mapped,BCD,MAP,Awareness,CCCT-eP6-MAP-Cell Therapy Day 1 EM1-Global,EM5085836,3029,3132,3055,77,98%,1225,39%,1517,124%,
Read how to achieve >98% manufacturing success rate with standards,AMER,SUD,MAP,Awareness,eT2-MAP Email 3-Single-Use mAb Process Playbook-Gl,EM5090683,848,870,868,2,100%,647,74%,95,15%,
Read how to achieve >98% manufacturing success rate with standards,APJ,SUD,MAP,Awareness,eT2-MAP Email 3-Single-Use mAb Process Playbook-Gl,EM5090683,699,728,728,0,100%,254,35%,38,15%,
Read how to achieve >98% manufacturing success rate with standards,EMEA,SUD,MAP,Awareness,eT2-MAP Email 3-Single-Use mAb Process Playbook-Gl,EM5090683,4707,4738,4737,1,100%,2413,51%,148,6%,$934
Read how to achieve >98% manufacturing success rate with standards,To Be Mapped,SUD,MAP,Awareness,eT2-MAP Email 3-Single-Use mAb Process Playbook-Gl,EM5090683,652,669,666,3,100%,454,68%,86,19%,
Read flyer: enhance CHO process,AMER,BCD,Batch & Blast,Download,CCCT - SO No Edits EM - Efficient Pro - Optimize m,EM5092658,9588,9588,9558,30,100%,4941,52%,897,18%,$2045884
Read flyer: enhance CHO process,To Be Mapped,BCD,Batch & Blast,Download,CCCT - SO No Edits EM - Efficient Pro - Optimize m,EM5092658,3144,3146,3064,82,97%,1600,51%,547,34%,
Raw material quality and AAV consistency,AMER,BCD,MAP,Awareness,eT1-BPG-CCCT-Gene Therapy MAP Bundle EM2-Scale Up,EM5100216,2589,2589,2589,0,100%,372,14%,92,25%,$136000
Raw material quality and AAV consistency,APJ,BCD,MAP,Awareness,eT1-BPG-CCCT-Gene Therapy MAP Bundle EM2-Scale Up,EM5100216,834,834,834,0,100%,161,19%,7,4%,
Raw material quality and AAV consistency,EMEA,BCD,MAP,Awareness,eT1-BPG-CCCT-Gene Therapy MAP Bundle EM2-Scale Up,EM5100216,1294,1294,1294,0,100%,513,40%,17,3%,
Raw material quality and AAV consistency,To Be Mapped,BCD,MAP,Awareness,eT1-BPG-CCCT-Gene Therapy MAP Bundle EM2-Scale Up,EM5100216,634,634,634,0,100%,130,21%,27,21%,
"Rapid, accurate microbial identification",AMER,PPA,MAP,Cross-Sell,eP5 - MAP - PA MSID - Product Intro - EM1 - Global,EM5091519,3026,3026,3019,7,100%,2936,97%,306,10%,
"Rapid, accurate microbial identification",APJ,PPA,MAP,Cross-Sell,eP5 - MAP - PA MSID - Product Intro - EM1 - Global,EM5091519,144,144,144,0,100%,99,69%,12,12%,
"Rapid, accurate microbial identification",To Be Mapped,PPA,MAP,Cross-Sell,eP5 - MAP - PA MSID - Product Intro - EM1 - Global,EM5091519,1095,1095,1081,14,99%,1049,96%,321,31%,
Rapid mycoplasma testing for lot release,AMER,PPA,Batch & Blast,Download,NA SO edits Rapid mycoplasma testing for lot-relea,EM5103908,7730,7740,7740,0,100%,2597,34%,202,8%,$92759
Rapid mycoplasma testing for lot release,AMER,PPA,Batch & Blast,Download,SO-EM-No Edits-BPG-PHA-MycoSEQ eBook - Americas,EM5094936,16314,16314,16201,113,99%,8196,50%,1113,14%,$29387
Rapid mycoplasma testing for lot release,EMEA,PPA,Batch & Blast,Download,MycoSEQ-Ebook-Email4-EMEA,EM5103997,5918,5920,5920,0,100%,1912,32%,131,7%,$8512
Rapid mycoplasma testing for lot release,To Be Mapped,PPA,Batch & Blast,Download,NA SO edits Rapid mycoplasma testing for lot-relea,EM5103908,478,480,480,0,100%,158,33%,26,16%,
Rapid media screening options,AMER,BCD,Batch & Blast,Webinar,BPG-CCCT-SO No edits-Rapid media and feed screenin,EM5097624,7119,7119,7119,0,100%,1520,21%,211,14%,$2952464
Rapid media screening options,To Be Mapped,BCD,Batch & Blast,Webinar,BPG-CCCT-SO No edits-Rapid media and feed screenin,EM5097624,877,877,877,0,100%,210,24%,60,29%,
Questions about purifying therapeutic antibodies?,AMER,To Be Mapped,Batch & Blast,Download,BPG - eT1 BioTech Campaign eBook EM2 - AMERICAS,EM5105068,3779,3779,3779,0,100%,749,20%,73,10%,
Quantitate proviral lentivirus DNA,AMER,PPA,Batch & Blast,Awareness,SO-EM- PHA- ViralSE Lentivirus Proviral DNA Titer,EM5095700,8550,8550,8506,44,99%,4277,50%,399,9%,$50963
Quantitate proviral lentivirus DNA,To Be Mapped,PPA,Batch & Blast,Awareness,SO-EM- PHA- ViralSE Lentivirus Proviral DNA Titer,EM5095700,1713,1714,1670,44,97%,811,47%,196,24%,
Quality testing for vaccines of all cell types,AMER,PPA,MAP,Cross-Sell,PPA MAP - eP5 - resDNA intro,EM5072271,341,361,360,1,100%,360,100%,251,70%,
Quality testing for vaccines of all cell types,EMEA,PPA,MAP,Cross-Sell,PPA MAP - eP5 - resDNA intro,EM5072271,215,223,222,1,100%,174,78%,91,52%,
Quality testing for vaccines of all cell types,To Be Mapped,PPA,MAP,Cross-Sell,PPA MAP - eP5 - resDNA intro,EM5072271,272,278,278,0,100%,282,101%,282,100%,
qPCR solutions to meet regulatory requirements,AMER,PPA,MAP,Cross-Sell,eP4 - MAP - PA resDNASEQ - Total Workflow - EM1 -,EM5091443,1308,1348,1342,6,100%,606,45%,226,37%,
qPCR solutions to meet regulatory requirements,APJ,PPA,MAP,Cross-Sell,eP4 - MAP - PA resDNASEQ - Total Workflow - EM1 -,EM5091443,160,164,164,0,100%,62,38%,18,29%,
qPCR solutions to meet regulatory requirements,EMEA,PPA,MAP,Cross-Sell,eP4 - MAP - PA resDNASEQ - Total Workflow - EM1 -,EM5091443,508,524,523,1,100%,221,42%,32,14%,$18062
qPCR solutions to meet regulatory requirements,To Be Mapped,PPA,MAP,Cross-Sell,eP4 - MAP - PA resDNASEQ - Total Workflow - EM1 -,EM5091443,473,476,469,7,99%,243,51%,120,49%,
"qPCR Mycoplasma Detection System, results in 5 hours",AMER,PPA,MAP,Cross-Sell,eP6 - PPA Map-PA-em1-MycoSEQ-Awareness,EM5077283,2000,2402,2397,5,100%,710,30%,222,31%,
"qPCR Mycoplasma Detection System, results in 5 hours",APJ,PPA,MAP,Cross-Sell,eP6 - PPA Map-PA-em1-MycoSEQ-Awareness,EM5077283,406,486,479,7,99%,122,25%,124,102%,
"qPCR Mycoplasma Detection System, results in 5 hours",EMEA,PPA,MAP,Cross-Sell,eP6 - PPA Map-PA-em1-MycoSEQ-Awareness,EM5077283,1456,1792,1784,8,100%,532,30%,311,58%,$4000
"qPCR Mycoplasma Detection System, results in 5 hours",To Be Mapped,PPA,MAP,Cross-Sell,eP6 - PPA Map-PA-em1-MycoSEQ-Awareness,EM5077283,1889,2216,2197,19,99%,589,27%,233,40%,
